Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Day_Name,Month,Year,Prev_Close,Pct_Change,Sign,Close_Trend
2020-07-21,11126.1,11179.55,11113.25,11162.25,771998838,42461.89,Tuesday,July,2020,11022.2,1.2706174810836246,+,+ 1.27%
2020-07-22,11231.2,11238.1,11056.55,11132.6,765074288,41068.72,Wednesday,July,2020,11162.25,-0.2656274496629231,-,- 0.27%
2020-07-23,11135.0,11239.8,11103.15,11215.45,621575333,32744.93,Thursday,July,2020,11132.6,0.7442106965129472,+,+ 0.74%
2020-07-24,11149.95,11225.4,11090.3,11194.15,678935175,40217.17,Friday,July,2020,11215.45,-0.18991658827778723,-,- 0.19%
2020-07-27,11225.0,11225.0,11087.85,11131.8,588148687,34539.73,Monday,July,2020,11194.15,-0.5569873550023928,-,- 0.56%
2020-07-28,11154.1,11317.75,11151.4,11300.55,683891350,38677.47,Tuesday,July,2020,11131.8,1.5159273432868001,+,+ 1.52%
2020-07-29,11276.9,11341.4,11149.75,11202.85,600726301,38726.02,Wednesday,July,2020,11300.55,-0.8645596895726217,-,- 0.86%
2020-07-30,11254.3,11299.95,11084.95,11102.15,677761342,39150.44,Thursday,July,2020,11202.85,-0.8988784104045017,-,- 0.90%
2020-07-31,11139.5,11150.4,11026.65,11073.45,642560311,36220.09,Friday,July,2020,11102.15,-0.2585084870948322,-,- 0.26%
2020-08-03,11057.55,11058.05,10882.25,10891.6,680929323,31149.94,Monday,August,2020,11073.45,-1.6422162921221513,-,- 1.64%
2020-08-04,10946.65,11112.25,10908.1,11095.25,625738313,35357.96,Tuesday,August,2020,10891.6,1.8697895625986967,+,+ 1.87%
2020-08-05,11155.75,11225.65,11064.05,11101.65,667639446,34894.58,Wednesday,August,2020,11095.25,0.05768234154254871,+,+ 0.06%
2020-08-06,11185.7,11256.8,11127.3,11200.15,600374615,31501.08,Thursday,August,2020,11101.65,0.8872554980565952,+,+ 0.89%
2020-08-07,11186.65,11231.9,11142.05,11214.05,452629891,27054.43,Friday,August,2020,11200.15,0.12410548073016556,+,+ 0.12%
2020-08-10,11270.25,11337.3,11238.0,11270.15,491999534,29108.25,Monday,August,2020,11214.05,0.5002652922004126,+,+ 0.50%
2020-08-11,11322.25,11373.6,11299.15,11322.5,586084846,30314.89,Tuesday,August,2020,11270.15,0.46450135978669643,+,+ 0.46%
2020-08-12,11289.0,11322.0,11242.65,11308.4,609858960,28088.09,Wednesday,August,2020,11322.5,-0.12453080150143842,-,- 0.12%
2020-08-13,11334.85,11359.3,11269.95,11300.45,562355175,26500.52,Thursday,August,2020,11308.4,-0.07030172261326897,-,- 0.07%
2020-08-14,11353.3,11366.25,11111.45,11178.4,645109756,31059.23,Friday,August,2020,11300.45,-1.0800454849143273,-,- 1.08%
2020-08-17,11248.9,11267.1,11144.5,11247.1,633963958,27468.67,Monday,August,2020,11178.4,0.6145781149359544,+,+ 0.61%
2020-08-18,11259.8,11401.7,11253.15,11385.35,579242492,27267.51,Tuesday,August,2020,11247.1,1.2292057508157659,+,+ 1.23%
2020-08-19,11452.15,11460.35,11394.1,11408.4,626217997,27528.12,Wednesday,August,2020,11385.35,0.20245315251616572,+,+ 0.20%
2020-08-20,11317.45,11361.45,11289.8,11312.2,791587770,27676.18,Thursday,August,2020,11408.4,-0.8432383156270722,-,- 0.84%
2020-08-21,11409.65,11418.5,11362.2,11371.6,668719170,26294.26,Friday,August,2020,11312.2,0.52509679814713,+,+ 0.53%
2020-08-24,11412.0,11497.25,11410.65,11466.45,532900535,28920.84,Monday,August,2020,11371.6,0.8340954658975022,+,+ 0.83%
2020-08-25,11513.1,11525.9,11423.35,11472.25,638152608,28742.82,Tuesday,August,2020,11466.45,0.05058235112000028,+,+ 0.05%
2020-08-26,11512.85,11561.75,11461.85,11549.6,743442521,34852.01,Wednesday,August,2020,11472.25,0.6742356556037425,+,+ 0.67%
2020-08-27,11609.3,11617.35,11540.6,11559.25,719776490,31580.61,Thursday,August,2020,11549.6,0.08355267714898902,+,+ 0.08%
2020-08-28,11602.95,11686.05,11589.4,11647.6,806997707,39349.92,Friday,August,2020,11559.25,0.7643229448277385,+,+ 0.76%
2020-08-31,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55,Monday,August,2020,11647.6,-2.233078058999282,-,- 2.23%
2020-09-01,11464.3,11553.55,11366.9,11470.25,783769555,36752.54,Tuesday,September,2020,11387.5,0.7266739846322723,+,+ 0.73%
2020-09-02,11478.55,11554.75,11430.4,11535.0,593494423,27454.65,Wednesday,September,2020,11470.25,0.5645038251127917,+,+ 0.56%
2020-09-03,11566.2,11584.95,11507.65,11527.45,607115212,26868.26,Thursday,September,2020,11535.0,-0.06545296922409426,-,- 0.07%
2020-09-04,11354.4,11452.05,11303.65,11333.85,681338905,31746.86,Friday,September,2020,11527.45,-1.679469440335897,-,- 1.68%
2020-09-07,11359.6,11381.15,11251.7,11355.05,560322964,25959.82,Monday,September,2020,11333.85,0.18705029623648547,+,+ 0.19%
2020-09-08,11378.55,11437.25,11290.45,11317.35,572239350,27979.7,Tuesday,September,2020,11355.05,-0.3320108674114065,-,- 0.33%
